apt_id,ttp_id
DarkVishnya,T1571
DarkVishnya,T1588.002
Darkhotel,T1016
Darkhotel,T1027.013
Darkhotel,T1036.005
Darkhotel,T1056.001
Darkhotel,T1057
Darkhotel,T1059.003
Darkhotel,T1080
Darkhotel,T1082
Darkhotel,T1083
Darkhotel,T1091
Darkhotel,T1105
Darkhotel,T1124
Darkhotel,T1140
Darkhotel,T1189
Darkhotel,T1203
Darkhotel,T1204.002
Darkhotel,T1497
Darkhotel,T1497.001
Darkhotel,T1497.002
Darkhotel,T1518.001
Darkhotel,T1547.001
Darkhotel,T1553.002
Darkhotel,T1566.001
Darkhotel,T1573.001
Deep Panda,T1018
Deep Panda,T1021.002
Deep Panda,T1027.005
Deep Panda,T1047
Deep Panda,T1057
Deep Panda,T1059.001
Deep Panda,T1218.010
Deep Panda,T1505.003
Deep Panda,T1546.008
Deep Panda,T1564.003
Dragonfly,T1003.002
Dragonfly,T1003.003
Dragonfly,T1003.004
Dragonfly,T1005
Dragonfly,T1012
Dragonfly,T1016
Dragonfly,T1018
Dragonfly,T1021.001
Dragonfly,T1033
Dragonfly,T1036.010
Dragonfly,T1053.005
Dragonfly,T1059
Dragonfly,T1059.001
Dragonfly,T1059.003
Dragonfly,T1059.006
Dragonfly,T1069.002
Dragonfly,T1070.001
Dragonfly,T1070.004
Dragonfly,T1071.002
Dragonfly,T1074.001
Dragonfly,T1078
Dragonfly,T1083
Dragonfly,T1087.002
Dragonfly,T1098.007
Dragonfly,T1105
Dragonfly,T1110
Dragonfly,T1110.002
Dragonfly,T1112
Dragonfly,T1113
Dragonfly,T1114.002
Dragonfly,T1133
Dragonfly,T1135
Dragonfly,T1136.001
Dragonfly,T1187
Dragonfly,T1189
Dragonfly,T1190
Dragonfly,T1195.002
Dragonfly,T1203
Dragonfly,T1204.002
Dragonfly,T1210
Dragonfly,T1221
Dragonfly,T1505.003
Dragonfly,T1547.001
Dragonfly,T1560
Dragonfly,T1562.004
Dragonfly,T1564.002
Dragonfly,T1566.001
Dragonfly,T1583.001
Dragonfly,T1583.003
Dragonfly,T1584.004
Dragonfly,T1588.002
Dragonfly,T1591.002
Dragonfly,T1595.002
Dragonfly,T1598.002
Dragonfly,T1598.003
Dragonfly,T1608.004
EXOTIC LILY,T1102
EXOTIC LILY,T1203
EXOTIC LILY,T1204.001
EXOTIC LILY,T1204.002
EXOTIC LILY,T1566.001
EXOTIC LILY,T1566.002
EXOTIC LILY,T1566.003
EXOTIC LILY,T1583.001
EXOTIC LILY,T1585.001
EXOTIC LILY,T1585.002
EXOTIC LILY,T1589.002
EXOTIC LILY,T1593.001
EXOTIC LILY,T1594
EXOTIC LILY,T1597
EXOTIC LILY,T1608.001
Earth Lusca,T1003.001
Earth Lusca,T1003.006
Earth Lusca,T1007
